; ===================================================================
; GAME C-STYLE CLASSES (pong* gm* pcr* state* MatchData*)
; Rockstar Table Tennis  -  default.xex
; ===================================================================

; NOTE: TT uses pong*/gm*/pcr*/state* prefixes, not C* like GTA IV

; RTTI ADDR     VTABLE        VFUNCS  CLASS
  0x8207CD88  0x8202FCB0      19  stateInit_gmLogicSinglesMatch
  0x8207CE08  0x8202FC48      22  gmLogicSinglesMatch
  0x8207CE98  0x82030E5A      32  pongDrillSmash
  0x8207CEE0  0x82030DCA      32  pongDrillCounterSpin
  0x8207CF28  0x82030D3A      32  pongDrillFocusShot
  0x8207CF70  0x82030CAA      32  pongDrillSpin
  0x8207CFB8  0x82030C1A      32  pongDrillCharging
  0x8207D000  0x82030B8A      32  pongDrillSoftShot
  0x8207D048  0x82030AFA      32  pongDrillPlacement
  0x8207D090  0x82030A6A      32  pongDrillReturn
  0x8207D0D8  0x820309DA      32  pongDrillServing
  0x8207D120  0x8203094A      32  pongDrillServeMeter
  0x8207D168  0x820308BA      32  pongDrillMovement
  0x8207D1B0  0x8203082A      32  pongTrainingDrill
  0x8207D204  0x82030EEC       1  gmBallRobot
  0x8207D278  0x82030F24       3  gmPracticeTarget
  0x8207D2D8  0x82030F18       1  pongRenderable
  0x8207D304  0x82031020      22  gdLadder
  0x8207D354  0x82030FB8      22  gdTier
  0x8207D3A4  0x82030F56      22  gdRivalry
  0x8207DDAC  0x8203371A       0  pongPostEffects
  0x8207DDF4  0x8203378C       0  pongShadowMap
  0x8207DE3C  0x82033795       0  pongGammaControl
  0x8207E67C  0x820358FC      31  pongCameraMgr
  0x8207E6D0  0x82035A1C       0  pongRandomizer
  0x8207E72C  0x82035A14       0  pongCineCamMgr
  0x8207E770  0x82035A08       0  pongCamGovernor
  0x8207E7B0  0x820359FE       0  pongCameraState
  0x8207E808  0x82035A4C      31  pongInlineCinematics
  0x8207EA00  0x82035BD0       0  pongCMCamera
  0x8207FEF0  0x82038EF0      11  pongPlayer
  0x82080078  0x82038FAE       0  pongPlayerShaderParams
  0x820806C0  0x8203AD7C       5  pongAudioManager
  0x82080708  0x8203ADA2      12  pongControlGroup
  0x82080754  0x8203AE8E       0  pongAmbiencePlayer
  0x820807F0  0x8203AF1A       4  pongSaveFile
  0x82080A80  0x8203B108       4  gdTrainingSaveData
  0x8208123C  0x8203AFBC       1  gdUnlockProfile
  0x820812B0  0x8203AF8C       5  gdGameData
  0x820812F0  0x8203B19A       0  gdReplayMgr
  0x82081334  0x8203B18E       0  gdPatternBank
  0x82081378  0x8203B380      22  gdBTgtBoneName
  0x820813C8  0x8203B320      22  gdBlendTargetName
  0x82081418  0x8203B2B8      22  gdBlendTargets
  0x82081468  0x8203B258      22  gdCrData
  0x820814B8  0x8203B1F0      22  gdCrAttachmentData
  0x82081508  0x8203B478       0  gdCharDataMgr
  0x82081550  0x8203B414      22  gdCharData
  0x820815A0  0x8203B610      22  gdCharSweatFactors
  0x820815F0  0x8203B5A8      22  gdCharEmoFactors
  0x82081640  0x8203B548      22  gdCharIntensityFactors
  0x82081690  0x8203B4E0      22  gdCharPlayerBias
  0x820816E0  0x8203B674       0  gdBallPredictManager
  0x820818B8  0x8203B7A9      22  pongBallHitData
  0x82081908  0x8203B8E9       0  gdBallFudgeMgr
  0x82081950  0x8203B885      22  gdBallFudgeData
  0x820819A0  0x8203B963       0  gdMotionRangeMgr
  0x820819E8  0x8203B8FF      22  gdMotionRange
  0x82081A80  0x8203BBB4       0  gdLevelDataManager
  0x82081AC8  0x8203BB50      22  gdLevelDataRoot
  0x82081B18  0x8203BAE8      22  gdLevelData
  0x82081B68  0x8203BA88      22  gdLevelPieceData
  0x82081BB8  0x8203BA20      22  gdLevelRegionalBias
  0x82081C50  0x8203BDD0       0  gdShotDataMgr
  0x82081C98  0x8203BD4C      31  gdShotSet
  0x82081CD0  0x8203BCEC      22  gdShotName
  0x82081D20  0x8203BC84      22  gdShotData
  0x82081D70  0x8203BBFD      31  gdShotMultiSet
