; ===================================================================
; LEAF FUNCTIONS — MAKE NO OUTGOING CALLS (likely math/physics primitives)
; Rockstar Table Tennis  -  default.xex
; ===================================================================

; ADDRESS         NAME
; --------------  ----------------------------------------

  0x820E6930  sub_820E6930  [called 1x]
  0x820E86A8  sub_820E86A8  [called 3x]
  0x820E8740  sub_820E8740  [called 1x]
  0x820E8830  sub_820E8830  [called 1x]
  0x820E8E28  sub_820E8E28  [called 2x]
  0x820E91E0  sub_820E91E0  [called 1x]
  0x820E9648  sub_820E9648  [called 1x]
  0x820EA7B0  sub_820EA7B0  [called 1x]
  0x820EAE60  sub_820EAE60  [called 1x]
  0x820EAFF0  sub_820EAFF0  [called 1x]
  0x820EB020  sub_820EB020  [called 2x]
  0x820EB210  sub_820EB210  [called 1x]
  0x820EB888  sub_820EB888  [called 1x]
  0x820EBB50  sub_820EBB50  [called 2x]
  0x820EC158  sub_820EC158  [called 0x]
  0x820F0730  sub_820F0730  [called 5x]
  0x820F0888  sub_820F0888  [called 3x]
  0x820F0908  sub_820F0908  [called 12x]
  0x820F0AA0  sub_820F0AA0  [called 2x]
  0x820F19B0  sub_820F19B0  [called 0x]
  0x820F39E0  sub_820F39E0  [called 1x]
  0x820F3C10  sub_820F3C10  [called 1x]
  0x820F3C30  sub_820F3C30  [called 1x]
  0x820F76F8  sub_820F76F8  [called 18x]
  0x820F7D08  sub_820F7D08  [called 0x]
  0x820F7F48  sub_820F7F48  [called 3x]
  0x820F8308  sub_820F8308  [called 0x]
  0x820F94F0  sub_820F94F0  [called 2x]
  0x820F9598  sub_820F9598  [called 3x]
  0x820F95A8  sub_820F95A8  [called 1x]
  0x820FBDD8  sub_820FBDD8  [called 2x]
  0x820FD578  sub_820FD578  [called 1x]
  0x820FD610  sub_820FD610  [called 1x]
  0x820FD7F8  sub_820FD7F8  [called 1x]
  0x820FE710  sub_820FE710  [called 1x]
  0x820FF188  sub_820FF188  [called 2x]
  0x82100B78  sub_82100B78  [called 2x]
  0x82100F58  sub_82100F58  [called 3x]
  0x82101048  sub_82101048  [called 14x]
  0x821010E0  sub_821010E0  [called 25x]
  0x82101140  sub_82101140  [called 4x]
  0x82101198  sub_82101198  [called 6x]
  0x82101480  sub_82101480  [called 3x]
  0x821014F0  sub_821014F0  [called 2x]
  0x82101700  sub_82101700  [called 4x]
  0x82101F08  sub_82101F08  [called 0x]
  0x82102BF0  sub_82102BF0  [called 0x]
  0x82102D58  sub_82102D58  [called 1x]
  0x82103800  sub_82103800  [called 0x]
  0x821045D0  sub_821045D0  [called 8x]
  0x82104630  sub_82104630  [called 1x]
  0x82106CB0  sub_82106CB0  [called 5x]
  0x82107A90  sub_82107A90  [called 0x]
  0x82108B48  sub_82108B48  [called 1x]
  0x82108C80  sub_82108C80  [called 1x]
  0x82109090  sub_82109090  [called 0x]
  0x8210B560  sub_8210B560  [called 0x]
  0x8210C530  sub_8210C530  [called 0x]
  0x8210CAA8  sub_8210CAA8  [called 0x]
  0x8210CAF8  sub_8210CAF8  [called 9x]
  0x8210CB88  sub_8210CB88  [called 6x]
  0x8210CD80  sub_8210CD80  [called 2x]
  0x8210D290  sub_8210D290  [called 0x]
  0x8210DAE0  sub_8210DAE0  [called 0x]
  0x8210E490  sub_8210E490  [called 0x]
  0x8210E9C8  sub_8210E9C8  [called 0x]
  0x8210EA00  sub_8210EA00  [called 0x]
  0x8210EA68  sub_8210EA68  [called 0x]
  0x8210ED38  sub_8210ED38  [called 0x]
  0x8210EDA0  sub_8210EDA0  [called 0x]
  0x8210F600  sub_8210F600  [called 0x]
  0x82110178  sub_82110178  [called 0x]
  0x82110720  sub_82110720  [called 0x]
  0x82110C60  sub_82110C60  [called 0x]
  0x82111798  sub_82111798  [called 0x]
  0x821129C8  sub_821129C8  [called 0x]
  0x82112A58  sub_82112A58  [called 1x]
  0x82112B00  sub_82112B00  [called 1x]
  0x821132B0  sub_821132B0  [called 2x]
  0x82113BA8  sub_82113BA8  [called 2x]
  0x82113C38  sub_82113C38  [called 3x]
  0x82115178  sub_82115178  [called 1x]
  0x82115280  sub_82115280  [called 9x]
