auto_namer_v5b Results
======================================================================

Pass P1    :     0
Pass P1r   :    52
Pass P2    :     0
Pass P6    :     0
Pass P7    :     1
Pass P8f   :   842
Pass P8fw  :    21
Pass P8r   :   658
Pass P8rh  :   156
Pass P9    :     0
Pass P10   :     0
Total renames:    1730
fn_8 fixed:       1678
Remaining:        5404
Coverage:         23.7%

======================================================================
DETAIL
======================================================================
  [P8f  ] 0x820F7818  game_7818                                                fwd 2/8 'game'
  [P8f  ] 0x820F8250  game_8250                                                fwd 2/5 'game'
  [P8rh ] 0x820F95A8  ph_95A8_h                                                rev private helper 'ph' sz=8
  [P8f  ] 0x820FA628  game_A628                                                fwd 4/12 'game'
  [P8f  ] 0x820FAE38  game_AE38                                                fwd 4/7 'game'
  [P8f  ] 0x820FB028  game_B028                                                fwd 3/6 'game'
  [P8r  ] 0x820FCEA8  rage_CEA8                                                rev 2/2 callers 'rage'
  [P8r  ] 0x820FCF78  rage_CF78                                                rev 2/2 callers 'rage'
  [P8f  ] 0x820FD3B8  game_D3B8_D3B8                                           fwd 2/3 'game'
  [P8f  ] 0x820FDA50  game_DA50                                                fwd 3/6 'game'
  [P8f  ] 0x820FDFC0  game_DFC0                                                fwd 4/11 'game'
  [P8f  ] 0x820FE580  game_E580_E580                                           fwd 2/4 'game'
  [P8f  ] 0x820FFF78  game_FF78                                                fwd 2/3 'game'
  [P8f  ] 0x82100860  game_0860                                                fwd 3/5 'game'
  [P8r  ] 0x821014F0  pg_14F0                                                  rev 2/2 callers 'pg'
  [P8f  ] 0x82101C18  game_1C18                                                fwd 2/3 'game'
  [P1r  ] 0x82103878  gmLogicSwingPractice_stateAim                            string ref (was gmLogicSwingPractice_stateAim_3878_3878_3878_3878_3878_3878_3878_3878)
  [P8f  ] 0x82105DF0  game_5DF0_5DF0                                           fwd 3/4 'game'
  [P8f  ] 0x821067E0  game_67E0                                                fwd 3/4 'game'
  [P8r  ] 0x8210AA50  stateHelpTips_AA50                                       rev 2/2 callers 'gmLogicSinglesMatch::stateHelpTips'
  [P1r  ] 0x8210AFD0  gmLogicSinglesMatch_stateReplay                          string ref (was gmLogicSinglesMatch_stateReplay_AFD0_AFD0_AFD0_AFD0_AFD0_AFD0_AFD0_AFD0)
  [P8f  ] 0x8210BD58  game_BD58_BD58                                           fwd 2/3 'game'
  [P8r  ] 0x8210E378  pongDrillMovement_E378                                   rev 2/2 callers 'pongDrillMovement'
  [P8r  ] 0x82110060  pongDrillCharging_0060                                   rev 2/2 callers 'pongDrillCharging'
  [P8f  ] 0x821125F0  game_25F0                                                fwd 3/5 'game'
  [P8f  ] 0x82112710  game_2710                                                fwd 2/6 'game'
  [P8f  ] 0x82112870  game_2870                                                fwd 2/4 'game'
  [P8f  ] 0x821137B0  game_37B0_37B0                                           fwd 2/3 'game'
  [P1r  ] 0x821152E8  pongLadder_ComputeLadder                                 string ref (was pongLadder_ComputeLadder_52E8_52E8_52E8_52E8_52E8_52E8_52E8_52E8)
  [P8f  ] 0x82116490  game_6490                                                fwd 3/5 'game'
  [P8r  ] 0x821183B0  pongCreatureInst_83B0                                    rev 2/3 callers 'pongCreatureInst'
  [P8f  ] 0x8211CE98  game_CE98                                                fwd 3/3 'game'
  [P8rh ] 0x8211CF90  pongCreatureInst_CF90_h                                  rev private helper 'pongCreatureInst' sz=32
