auto_namer.py  –  Results
============================================================

Pass 1  (string refs):        0
Pass 2  (thunks):           143
Pass 3  (call patterns):    617
Pass 4  (stubs/nops):       168
──────────────────────────────
Total named this run:       928
Previously unnamed:        8634
Coverage:                 10.7%

============================================================
DETAIL (sorted by address)
============================================================
  0x823168D0  rage_68D0                                           [calls 2x into 'rage' module]
  0x8231B438  rage_B438                                           [calls 2x into 'rage' module]
  0x8231C410  game_C410                                           [calls 10x into 'game' module]
  0x8231DEE8  game_DEE8                                           [calls 2x into 'game' module]
  0x8231E628  game_E628                                           [calls 3x into 'game' module]
  0x8231EEB8  rage_EEB8                                           [calls 2x into 'rage' module]
  0x8231F680  rage_F680                                           [calls 4x into 'rage' module]
  0x8231F728  game_F728                                           [calls 14x into 'game' module]
  0x8231FE70  game_FE70                                           [calls 2x into 'game' module]
  0x82320B70  rage_0B70                                           [calls 2x into 'rage' module]
  0x82320DF8  game_0DF8                                           [calls 9x into 'game' module]
  0x82320EC8  game_0EC8                                           [calls 15x into 'game' module]
  0x823215A8  game_15A8                                           [calls 3x into 'game' module]
  0x823217E8  rage_17E8                                           [calls 2x into 'rage' module]
  0x82321A20  game_1A20                                           [calls 19x into 'game' module]
  0x82321E90  game_1E90                                           [calls 2x into 'game' module]
  0x823222D0  game_22D0                                           [calls 2x into 'game' module]
  0x82322470  game_2470                                           [calls 4x into 'game' module]
  0x823234B0  game_34B0                                           [calls 5x into 'game' module]
  0x82325B10  game_5B10                                           [calls 4x into 'game' module]
  0x8232A858  rage_A858                                           [calls 26x into 'rage' module]
  0x8232F100  game_F100                                           [calls 2x into 'game' module]
  0x8232FED0  game_FED0                                           [calls 6x into 'game' module]
  0x82336FF8  vtthunk_82336FF8                                    [vtable thunk (4 insns, ends bctr)]
  0x82339CC8  rage_9CC8                                           [calls 8x into 'rage' module]
  0x8233F1D0  rage_F1D0                                           [calls 7x into 'rage' module]
  0x82341F48  game_1F48                                           [calls 2x into 'game' module]
  0x82342A88  rage_2A88                                           [calls 4x into 'rage' module]
  0x82346B28  game_6B28                                           [calls 2x into 'game' module]
  0x823479F8  rage_79F8                                           [calls 2x into 'rage' module]
  0x8234A1C0  nop_A1C0                                            [stub/nop body]
  0x823524A8  rage_24A8                                           [calls 2x into 'rage' module]
  0x82353A58  nop_3A58                                            [stub/nop body]
  0x82353A90  nop_3A90                                            [stub/nop body]
  0x82353AD8  nop_3AD8                                            [stub/nop body]
  0x82353B78  nop_3B78                                            [stub/nop body]
  0x82353C10  nop_3C10                                            [stub/nop body]
  0x82353CA8  nop_3CA8                                            [stub/nop body]
  0x82353D40  nop_3D40                                            [stub/nop body]
  0x82353DB8  nop_3DB8                                            [stub/nop body]
  0x82353E30  nop_3E30                                            [stub/nop body]
  0x82353EA8  nop_3EA8                                            [stub/nop body]
  0x82353F48  nop_3F48                                            [stub/nop body]
  0x82353FF0  nop_3FF0                                            [stub/nop body]
  0x82354168  nop_4168                                            [stub/nop body]
  0x82354198  nop_4198                                            [stub/nop body]
  0x823541E0  nop_41E0                                            [stub/nop body]
  0x82354238  nop_4238                                            [stub/nop body]
  0x82354278  nop_4278                                            [stub/nop body]
  0x823542B0  nop_42B0                                            [stub/nop body]
  0x823542F8  nop_42F8                                            [stub/nop body]
  0x82354340  nop_4340                                            [stub/nop body]
  0x82354378  nop_4378                                            [stub/nop body]
  0x823543B0  nop_43B0                                            [stub/nop body]
  0x823543F8  nop_43F8                                            [stub/nop body]
  0x82354440  nop_4440                                            [stub/nop body]
  0x82354478  nop_4478                                            [stub/nop body]
  0x823544A8  nop_44A8                                            [stub/nop body]
  0x823544D0  nop_44D0                                            [stub/nop body]
  0x823544F8  nop_44F8                                            [stub/nop body]
  0x82354520  nop_4520                                            [stub/nop body]
  0x82354548  nop_4548                                            [stub/nop body]
  0x82354570  nop_4570                                            [stub/nop body]
  0x823545A8  nop_45A8                                            [stub/nop body]
  0x823545C8  nop_45C8                                            [stub/nop body]
  0x82354728  nop_4728                                            [stub/nop body]
  0x82354760  nop_4760                                            [stub/nop body]
  0x82354798  nop_4798                                            [stub/nop body]
  0x823547E0  nop_47E0                                            [stub/nop body]
  0x82354828  nop_4828                                            [stub/nop body]
  0x82354870  nop_4870                                            [stub/nop body]
  0x823548B8  nop_48B8                                            [stub/nop body]
  0x823548C0  nop_48C0                                            [stub/nop body]
  0x823548C8  nop_48C8                                            [stub/nop body]
  0x82354918  nop_4918                                            [stub/nop body]
  0x82354968  nop_4968                                            [stub/nop body]
  0x823549B8  nop_49B8                                            [stub/nop body]
  0x82354CB8  nop_4CB8                                            [stub/nop body]
  0x82354CC8  nop_4CC8                                            [stub/nop body]
  0x82354CD8  nop_4CD8                                            [stub/nop body]
  0x82354CE8  nop_4CE8                                            [stub/nop body]
  0x82354CF8  nop_4CF8                                            [stub/nop body]
  0x82354D08  nop_4D08                                            [stub/nop body]
  0x82354D18  nop_4D18                                            [stub/nop body]
  0x82354D28  nop_4D28                                            [stub/nop body]
  0x82354D38  nop_4D38                                            [stub/nop body]
  0x82354D48  nop_4D48                                            [stub/nop body]
  0x82354D70  nop_4D70                                            [stub/nop body]
  0x82354DC8  nop_4DC8                                            [stub/nop body]
  0x82354E88  nop_4E88                                            [stub/nop body]
  0x82354F40  nop_4F40                                            [stub/nop body]
  0x82354FF8  nop_4FF8                                            [stub/nop body]
  0x823550B0  nop_50B0                                            [stub/nop body]
  0x823550D8  nop_50D8                                            [stub/nop body]
  0x82355108  nop_5108                                            [stub/nop body]
  0x82355138  nop_5138                                            [stub/nop body]
  0x82355170  nop_5170                                            [stub/nop body]
  0x823551A8  nop_51A8                                            [stub/nop body]
  0x823551D8  nop_51D8                                            [stub/nop body]
  0x82355208  nop_5208                                            [stub/nop body]
  0x82355280  nop_5280                                            [stub/nop body]
  0x823552B0  nop_52B0                                            [stub/nop body]
  0x823552E0  nop_52E0                                            [stub/nop body]
  0x82355310  nop_5310                                            [stub/nop body]
  0x82355340  nop_5340                                            [stub/nop body]
  0x82355378  nop_5378                                            [stub/nop body]
  0x823553B0  nop_53B0                                            [stub/nop body]
  0x823553E0  nop_53E0                                            [stub/nop body]
  0x823553E8  nop_53E8                                            [stub/nop body]
  0x823553F0  nop_53F0                                            [stub/nop body]
  0x823553F8  nop_53F8                                            [stub/nop body]
  0x82355408  nop_5408                                            [stub/nop body]
  0x82355598  nop_5598                                            [stub/nop body]
  0x82355728  nop_5728                                            [stub/nop body]
  0x82355818  nop_5818                                            [stub/nop body]
  0x82355890  nop_5890                                            [stub/nop body]
  0x82355A58  nop_5A58                                            [stub/nop body]
  0x82355AD8  nop_5AD8                                            [stub/nop body]
  0x823567C8  memcpy_67C8                                         [calls 2x into 'memcpy' module]
  0x823592E8  nop_92E8                                            [stub/nop body]
  0x82359328  thunk_fn_82358928                                   [thunk -> fn_82358928]
  0x82359C88  rage_9C88                                           [calls 2x into 'rage' module]
  0x8235BDC0  grc_BDC0                                            [calls 3x into 'grc' module]
  0x8235C460  grc_C460                                            [calls 4x into 'grc' module]
  0x8235C660  rage_C660                                           [calls 2x into 'rage' module]
  0x8235CB48  rage_CB48                                           [calls 3x into 'rage' module]
  0x8235EB70  nop_EB70                                            [stub/nop body]
  0x823632F0  rage_32F0                                           [calls 2x into 'rage' module]
  0x82364040  nop_4040                                            [stub/nop body]
  0x82368EF8  game_8EF8                                           [calls 3x into 'game' module]
  0x8236A4D0  nop_A4D0                                            [calls 2x into 'nop' module]
  0x8236C8A0  game_C8A0                                           [calls 2x into 'game' module]
  0x8236D610  game_D610                                           [calls 10x into 'game' module]
  0x8236D758  nop_D758                                            [calls 2x into 'nop' module]
  0x8236D900  nop_D900                                            [calls 2x into 'nop' module]
  0x8236DAB8  nop_DAB8                                            [calls 2x into 'nop' module]
  0x8236DD68  nop_DD68                                            [calls 2x into 'nop' module]
  0x8236DF00  nop_DF00                                            [calls 2x into 'nop' module]
  0x8236E6C0  nop_E6C0                                            [calls 2x into 'nop' module]
  0x8236E920  nop_E920                                            [calls 2x into 'nop' module]
  0x8236EFE0  nop_EFE0                                            [calls 2x into 'nop' module]
  0x8236FB20  game_FB20                                           [calls 2x into 'game' module]
  0x82370488  game_0488                                           [calls 2x into 'game' module]
  0x82370608  game_0608                                           [calls 2x into 'game' module]
  0x82371900  game_1900                                           [calls 3x into 'game' module]
  0x82371BA0  game_1BA0                                           [calls 2x into 'game' module]
  0x82371BF8  game_1BF8                                           [calls 2x into 'game' module]
  0x82371EB8  thunk_fn_823712B8                                   [thunk -> fn_823712B8]
  0x82372378  game_2378                                           [calls 2x into 'game' module]
  0x82373650  nop_3650                                            [calls 2x into 'nop' module]
  0x82375160  game_5160                                           [calls 2x into 'game' module]
  0x82375570  game_5570                                           [calls 7x into 'game' module]
  0x82375AC0  game_5AC0                                           [calls 2x into 'game' module]
  0x82375BD0  game_5BD0                                           [calls 5x into 'game' module]
  0x82378040  game_8040                                           [calls 2x into 'game' module]
  0x82378448  thunk_vt5068_2                                      [thunk -> vt5068_2]
  0x82378A78  thunk_vtA19C_5                                      [thunk -> vtA19C_5]
  0x8237ACD0  rage_ACD0                                           [calls 4x into 'rage' module]
  0x8237AD68  game_AD68                                           [calls 3x into 'game' module]
  0x8237B220  game_B220                                           [calls 2x into 'game' module]
  0x8237B438  game_B438                                           [calls 2x into 'game' module]
  0x8237B7E0  game_B7E0                                           [calls 5x into 'game' module]
  0x8237D060  rage_D060                                           [calls 3x into 'rage' module]
  0x8237EAF8  game_EAF8                                           [calls 2x into 'game' module]
  0x8237EEF8  rage_EEF8                                           [calls 2x into 'rage' module]
  0x8237F380  rage_F380                                           [calls 2x into 'rage' module]
  0x8237FF90  game_FF90                                           [calls 2x into 'game' module]
  0x82380610  game_0610                                           [calls 2x into 'game' module]
  0x82380840  game_0840                                           [calls 2x into 'game' module]
  0x823839E0  rage_39E0                                           [calls 3x into 'rage' module]
  0x823846B0  rage_46B0                                           [calls 12x into 'rage' module]
  0x82384B30  game_4B30                                           [calls 3x into 'game' module]
  0x82388100  game_8100                                           [calls 4x into 'game' module]
  0x82388408  game_8408                                           [calls 6x into 'game' module]
  0x82388500  game_8500                                           [calls 4x into 'game' module]
  0x823885B8  game_85B8                                           [calls 4x into 'game' module]
  0x82388838  game_8838                                           [calls 2x into 'game' module]
  0x82389AC8  game_9AC8                                           [calls 2x into 'game' module]
  0x8238A968  game_A968                                           [calls 4x into 'game' module]
  0x8238ACE0  rage_ACE0                                           [calls 2x into 'rage' module]
  0x8238B0B0  game_B0B0                                           [calls 2x into 'game' module]
  0x8238B2F0  game_B2F0                                           [calls 2x into 'game' module]
  0x8238D190  nop_D190                                            [calls 2x into 'nop' module]
  0x8238FD58  thunk_game_vtB92C_12                                [thunk -> game_vtB92C_12]
  0x8238FF70  game_FF70                                           [calls 2x into 'game' module]
  0x82390608  game_0608                                           [calls 6x into 'game' module]
  0x82391218  game_1218                                           [calls 3x into 'game' module]
  0x82391A58  game_1A58                                           [calls 2x into 'game' module]
  0x82391C30  game_1C30                                           [calls 2x into 'game' module]
  0x82391D80  game_1D80                                           [calls 2x into 'game' module]
  0x82391FE8  game_1FE8                                           [calls 3x into 'game' module]
  0x82396690  nop_6690                                            [stub/nop body]
  0x823999E0  vtthunk_823999E0                                    [vtable thunk (5 insns, ends bctr)]
  0x8239E288  vtthunk_8239E288                                    [vtable thunk (5 insns, ends bctr)]
  0x8239E328  game_E328                                           [calls 2x into 'game' module]
  0x8239F610  game_F610                                           [calls 2x into 'game' module]
  0x823A0C68  nop_0C68                                            [calls 2x into 'nop' module]
  0x823A0F78  nop_0F78                                            [calls 2x into 'nop' module]
  0x823A1288  nop_1288                                            [calls 2x into 'nop' module]
  0x823A5AC0  game_5AC0                                           [calls 2x into 'game' module]
  0x823A60B8  nop_60B8                                            [calls 2x into 'nop' module]
  0x823A76A0  game_76A0                                           [calls 3x into 'game' module]
  0x823A81A8  game_81A8                                           [calls 3x into 'game' module]
  0x823A8300  game_8300                                           [calls 3x into 'game' module]
  0x823A83E8  vtthunk_823A83E8                                    [vtable thunk (4 insns, ends bctr)]
  0x823A83F8  vtthunk_823A83F8                                    [vtable thunk (4 insns, ends bctr)]
  0x823A8408  thunk_fn_823A9B10                                   [thunk -> fn_823A9B10]
  0x823A8410  thunk_fn_823A0120                                   [thunk -> fn_823A0120]
  0x823A8418  thunk_fn_823A27C0                                   [thunk -> fn_823A27C0]
  0x823A8420  thunk_fn_823A5908                                   [thunk -> fn_823A5908]
  0x823A8E48  game_8E48                                           [calls 3x into 'game' module]
  0x823A9678  game_9678                                           [calls 3x into 'game' module]
  0x823A9720  game_9720                                           [calls 3x into 'game' module]
  0x823A97C8  game_97C8                                           [calls 3x into 'game' module]
  0x823A99C0  game_99C0                                           [calls 3x into 'game' module]
  0x823A9A68  game_9A68                                           [calls 3x into 'game' module]
  0x823A9B10  vtthunk_823A9B10                                    [vtable thunk (4 insns, ends bctr)]
  0x823A9D48  game_9D48                                           [calls 2x into 'game' module]
  0x823AA128  game_A128                                           [calls 10x into 'game' module]
  0x823AAE90  game_AE90                                           [calls 4x into 'game' module]
  0x823AAF98  game_AF98                                           [calls 8x into 'game' module]
  0x823AD910  game_D910                                           [calls 2x into 'game' module]
  0x823AFC78  game_FC78                                           [calls 3x into 'game' module]
  0x823B3EC0  thunk_fn_823AE760                                   [thunk -> fn_823AE760]
  0x823B3EC8  thunk_fn_823B2D18                                   [thunk -> fn_823B2D18]
  0x823B3ED0  thunk_fn_823B2EE8                                   [thunk -> fn_823B2EE8]
  0x823B3ED8  thunk_fn_823B0BB8                                   [thunk -> fn_823B0BB8]
  0x823B3EE0  thunk_fn_823B0C28                                   [thunk -> fn_823B0C28]
  0x823B3EE8  thunk_fn_823B0C98                                   [thunk -> fn_823B0C98]
  0x823B3EF0  thunk_fn_823AE4C8                                   [thunk -> fn_823AE4C8]
  0x823B3EF8  thunk_fn_823B0560                                   [thunk -> fn_823B0560]
  0x823B3F00  thunk_fn_823B0D38                                   [thunk -> fn_823B0D38]
  0x823B4048  memset_4048                                         [calls 2x into 'memset' module]
  0x823B4280  game_4280                                           [calls 13x into 'game' module]
  0x823B4690  game_4690                                           [calls 4x into 'game' module]
  0x823B8D20  thunk_game_vtF528_1                                 [thunk -> game_vtF528_1]
  0x823BAEF8  nop_AEF8                                            [stub/nop body]
  0x823CA1B0  thunk_fn_823C9B18                                   [thunk -> fn_823C9B18]
  0x823CA1B8  game_A1B8                                           [calls 3x into 'game' module]
  0x823CA458  game_A458                                           [calls 2x into 'game' module]
  0x823CA528  thunk_fn_8239AAB0                                   [thunk -> fn_8239AAB0]
  0x823D1388  game_1388                                           [calls 8x into 'game' module]
  0x823D1448  game_1448                                           [calls 10x into 'game' module]
  0x823D1968  game_1968                                           [calls 2x into 'game' module]
  0x823D19C8  nop_19C8                                            [stub/nop body]
  0x823D1AD0  thunk_game_vt00EC_4                                 [thunk -> game_vt00EC_4]
  0x823D6B40  game_6B40                                           [calls 2x into 'game' module]
  0x823D8710  rage_8710                                           [calls 6x into 'rage' module]
  0x823D8F90  game_8F90                                           [calls 2x into 'game' module]
  0x823D9498  vtthunk_823D9498                                    [vtable thunk (5 insns, ends bctr)]
  0x823D9F10  vtthunk_823D9F10                                    [vtable thunk (5 insns, ends bctr)]
  0x823D9F28  vtthunk_823D9F28                                    [vtable thunk (5 insns, ends bctr)]
  0x823D9F40  vtthunk_823D9F40                                    [vtable thunk (5 insns, ends bctr)]
  0x823D9F58  vtthunk_823D9F58                                    [vtable thunk (5 insns, ends bctr)]
  0x823D9F70  vtthunk_823D9F70                                    [vtable thunk (5 insns, ends bctr)]
  0x823D9F88  vtthunk_823D9F88                                    [vtable thunk (5 insns, ends bctr)]
  0x823D9FA0  vtthunk_823D9FA0                                    [vtable thunk (5 insns, ends bctr)]
  0x823D9FB8  vtthunk_823D9FB8                                    [vtable thunk (5 insns, ends bctr)]
  0x823DA620  game_A620                                           [calls 2x into 'game' module]
  0x823DA798  game_A798                                           [calls 3x into 'game' module]
  0x823DAC10  game_AC10                                           [calls 2x into 'game' module]
  0x823DCE40  thunk_fn_823DB580                                   [thunk -> fn_823DB580]
  0x823DD1F0  game_D1F0                                           [calls 3x into 'game' module]
  0x823E01C8  thunk_fn_823E01F8                                   [thunk -> fn_823E01F8]
  0x823E04A0  game_04A0                                           [calls 2x into 'game' module]
  0x823E0678  nop_0678                                            [stub/nop body]
  0x823E0688  nop_0688                                            [stub/nop body]
  0x823E1180  nop_1180                                            [stub/nop body]
  0x823E18E8  nop_18E8                                            [stub/nop body]
  0x823E1C58  thunk_fn_823F2828                                   [thunk -> fn_823F2828]
  0x823E1C60  thunk_fn_823F2A08                                   [thunk -> fn_823F2A08]
  0x823E54F8  game_54F8                                           [calls 3x into 'game' module]
  0x823E56C0  game_56C0                                           [calls 3x into 'game' module]
  0x823E59F8  game_59F8                                           [calls 2x into 'game' module]
  0x823E6178  game_6178                                           [calls 2x into 'game' module]
  0x823E6E18  game_6E18                                           [calls 2x into 'game' module]
  0x823E7068  game_7068                                           [calls 2x into 'game' module]
  0x823E7458  game_7458                                           [calls 4x into 'game' module]
  0x823E75E8  game_75E8                                           [calls 3x into 'game' module]
  0x823E88F8  game_88F8                                           [calls 2x into 'game' module]
  0x823E8D00  game_8D00                                           [calls 2x into 'game' module]
  0x823E92A8  game_92A8                                           [calls 3x into 'game' module]
  0x823EA768  game_A768                                           [calls 2x into 'game' module]
  0x823EAD68  game_AD68                                           [calls 3x into 'game' module]
  0x823EAE20  game_AE20                                           [calls 3x into 'game' module]
  0x823EAF10  game_AF10                                           [calls 3x into 'game' module]
  0x823EB0C0  thunk_fn_823DDD70                                   [thunk -> fn_823DDD70]
  0x823EB0C8  thunk_fn_823DDF08                                   [thunk -> fn_823DDF08]
  0x823EB0D0  thunk_fn_823DE1A0                                   [thunk -> fn_823DE1A0]
  0x823EB0D8  thunk_fn_823F23E8                                   [thunk -> fn_823F23E8]
  0x823EB0E0  thunk_fn_823DE6C8                                   [thunk -> fn_823DE6C8]
  0x823EB0E8  thunk_fn_823DE990                                   [thunk -> fn_823DE990]
  0x823EB0F0  thunk_fn_823DEB48                                   [thunk -> fn_823DEB48]
  0x823EB0F8  thunk_fn_823DEF68                                   [thunk -> fn_823DEF68]
  0x823EB100  thunk_fn_823E0758                                   [thunk -> fn_823E0758]
  0x823EB108  thunk_fn_823E2D48                                   [thunk -> fn_823E2D48]
  0x823EB110  thunk_fn_823E3268                                   [thunk -> fn_823E3268]
  0x823EB118  thunk_fn_823E88F8                                   [thunk -> fn_823E88F8]
  0x823EB120  thunk_fn_823E4110                                   [thunk -> fn_823E4110]
  0x823EB128  thunk_fn_823E45B0                                   [thunk -> fn_823E45B0]
  0x823EB130  thunk_fn_823E76E0                                   [thunk -> fn_823E76E0]
  0x823EC148  game_C148                                           [calls 2x into 'game' module]
  0x823EC480  nop_C480                                            [calls 2x into 'nop' module]
  0x823ED820  game_D820                                           [calls 2x into 'game' module]
  0x823EDF98  game_DF98                                           [calls 5x into 'game' module]
  0x823EE1F0  game_E1F0                                           [calls 2x into 'game' module]
  0x823EEB50  game_EB50                                           [calls 2x into 'game' module]
  0x823EF298  game_F298                                           [calls 6x into 'game' module]
  0x823EF530  game_F530                                           [calls 5x into 'game' module]
  0x823EF8B0  game_F8B0                                           [calls 3x into 'game' module]
  0x823EF988  thunk_fn_823EF620                                   [thunk -> fn_823EF620]
  0x823EF990  thunk_fn_823EF298                                   [thunk -> fn_823EF298]
  0x823EF998  thunk_fn_823EF438                                   [thunk -> fn_823EF438]
  0x823EFC50  game_FC50                                           [calls 2x into 'game' module]
  0x823EFD88  game_FD88                                           [calls 2x into 'game' module]
  0x823F1398  game_1398                                           [calls 3x into 'game' module]
  0x823F1468  game_1468                                           [calls 3x into 'game' module]
  0x823F1508  thunk_fn_823F0D68                                   [thunk -> fn_823F0D68]
  0x823F2080  game_2080                                           [calls 3x into 'game' module]
  0x823F2150  thunk_fn_823F1EA0                                   [thunk -> fn_823F1EA0]
  0x823F23E8  game_23E8                                           [calls 2x into 'game' module]
  0x823F2A08  game_2A08                                           [calls 2x into 'game' module]
  0x823F2E10  game_2E10                                           [calls 3x into 'game' module]
  0x823F2FD0  game_2FD0                                           [calls 5x into 'game' module]
  0x823F30B8  game_30B8                                           [calls 3x into 'game' module]
  0x823F3190  thunk_fn_823F25E8                                   [thunk -> fn_823F25E8]
  0x823F3198  thunk_fn_823F2C98                                   [thunk -> fn_823F2C98]
  0x823F31A0  thunk_fn_823F2E10                                   [thunk -> fn_823F2E10]
  0x823F3600  game_3600                                           [calls 4x into 'game' module]
  0x823F36D0  game_36D0                                           [calls 2x into 'game' module]
  0x823F3C78  thunk_fn_823F3918                                   [thunk -> fn_823F3918]
  0x823F3C80  thunk_fn_823F36D0                                   [thunk -> fn_823F36D0]
  0x823F7A10  game_7A10                                           [calls 3x into 'game' module]
  0x823FA2A0  game_A2A0                                           [calls 2x into 'game' module]
  0x823FD888  game_D888                                           [calls 2x into 'game' module]
  0x823FD8D0  game_D8D0                                           [calls 2x into 'game' module]
  0x823FDA38  game_DA38                                           [calls 2x into 'game' module]
  0x82406488  rage_6488                                           [calls 2x into 'rage' module]
  0x82407FF0  rage_7FF0                                           [calls 3x into 'rage' module]
  0x824089F0  grc_89F0                                            [calls 6x into 'grc' module]
  0x82409578  rage_9578                                           [calls 2x into 'rage' module]
  0x824098E8  rage_98E8                                           [calls 2x into 'rage' module]
  0x82409F08  rage_9F08                                           [calls 2x into 'rage' module]
  0x8240A3D0  rage_A3D0                                           [calls 2x into 'rage' module]
  0x8240C800  rage_C800                                           [calls 4x into 'rage' module]
  0x8240CB30  rage_CB30                                           [calls 5x into 'rage' module]
  0x8240D280  rage_D280                                           [calls 6x into 'rage' module]
  0x8240DFC8  rage_DFC8                                           [calls 3x into 'rage' module]
  0x8240E240  rage_E240                                           [calls 4x into 'rage' module]
  0x8240FE58  game_FE58                                           [calls 2x into 'game' module]
  0x82410420  nt_0420                                             [calls 2x into 'nt' module]
  0x82410820  thunk_nop_8240E6D0                                  [thunk -> nop_8240E6D0]
  0x82412A90  game_2A90                                           [calls 6x into 'game' module]
  0x82413160  game_3160                                           [calls 2x into 'game' module]
  0x824138C0  nop_38C0                                            [calls 2x into 'nop' module]
  0x824139E8  nop_39E8                                            [calls 2x into 'nop' module]
  0x82413E80  game_3E80                                           [calls 2x into 'game' module]
  0x82415048  game_5048                                           [calls 2x into 'game' module]
  0x82415898  game_5898                                           [calls 2x into 'game' module]
  0x82415940  game_5940                                           [calls 2x into 'game' module]
  0x82415FE0  game_5FE0                                           [calls 2x into 'game' module]
  0x824165A0  game_65A0                                           [calls 3x into 'game' module]
  0x82416DD0  game_6DD0                                           [calls 4x into 'game' module]
  0x82418020  game_8020                                           [calls 2x into 'game' module]
  0x82418398  game_8398                                           [calls 5x into 'game' module]
  0x824185C8  game_85C8                                           [calls 3x into 'game' module]
  0x824186A0  game_86A0                                           [calls 3x into 'game' module]
  0x8241C3B8  grc_C3B8                                            [calls 3x into 'grc' module]
  0x8241DD60  rage_DD60                                           [calls 2x into 'rage' module]
  0x8241DE90  rage_DE90                                           [calls 2x into 'rage' module]
  0x8241E0A0  rage_E0A0                                           [calls 3x into 'rage' module]
  0x8241E2B0  rage_E2B0                                           [calls 2x into 'rage' module]
  0x8241ED40  ke_ED40                                             [calls 2x into 'ke' module]
  0x8241F980  rage_F980                                           [calls 6x into 'rage' module]
  0x82421330  game_1330                                           [calls 2x into 'game' module]
  0x82421F70  rage_1F70                                           [calls 2x into 'rage' module]
  0x82422498  game_2498                                           [calls 2x into 'game' module]
  0x82423D98  game_3D98                                           [calls 3x into 'game' module]
  0x82424600  game_4600                                           [calls 2x into 'game' module]
  0x82425020  memset_5020                                         [calls 2x into 'memset' module]
  0x824250E0  nop_50E0                                            [calls 2x into 'nop' module]
  0x82425C78  game_5C78                                           [calls 2x into 'game' module]
  0x82426218  game_6218                                           [calls 3x into 'game' module]
  0x824262D8  nop_62D8                                            [calls 2x into 'nop' module]
  0x82426708  game_6708                                           [calls 3x into 'game' module]
  0x82426E78  game_6E78                                           [calls 2x into 'game' module]
  0x82427600  game_7600                                           [calls 2x into 'game' module]
  0x82427B28  game_7B28                                           [calls 2x into 'game' module]
  0x82427C40  game_7C40                                           [calls 2x into 'game' module]
  0x82428F68  game_8F68                                           [calls 2x into 'game' module]
  0x82429488  rage_9488                                           [calls 2x into 'rage' module]
  0x82429968  game_9968                                           [calls 14x into 'game' module]
  0x8242A218  rage_A218                                           [calls 2x into 'rage' module]
  0x8242B958  nop_B958                                            [stub/nop body]
  0x8242BF10  thunk_game_C330                                     [thunk -> game_C330]
  0x8242C388  thunk_game_C318                                     [thunk -> game_C318]
  0x8242C3B0  thunk_fn_8242C368                                   [thunk -> fn_8242C368]
  0x8242F638  nop_F638                                            [stub/nop body]
  0x8242F904  vtthunk_8242F904                                    [vtable thunk (3 insns, ends bctr)]
  0x8242FCA8  game_FCA8                                           [calls 8x into 'game' module]
  0x824332FC  nop_32FC                                            [stub/nop body]
  0x82435618  game_5618                                           [calls 2x into 'game' module]
  0x82435728  thunk_fn_82435690                                   [thunk -> fn_82435690]
  0x82436528  nop_6528                                            [stub/nop body]
  0x82436560  nop_6560                                            [stub/nop body]
  0x824365B4  nop_65B4                                            [stub/nop body]
  0x824365C4  nop_65C4                                            [stub/nop body]
  0x82438AF0  nop_8AF0                                            [stub/nop body]
  0x82438F48  game_8F48                                           [calls 2x into 'game' module]
  0x82439940  memcpy_9940                                         [calls 2x into 'memcpy' module]
  0x8243A368  nop_A368                                            [stub/nop body]
  0x8243C668  game_C668                                           [calls 4x into 'game' module]
  0x8243FD80  thunk_fn_8243FA00                                   [thunk -> fn_8243FA00]
  0x8244BD50  thunk_fn_82448878                                   [thunk -> fn_82448878]
  0x82451D20  nop_1D20                                            [stub/nop body]
  0x824522D0  nop_22D0                                            [stub/nop body]
  0x82453A38  nop_3A38                                            [stub/nop body]
  0x82454148  nop_4148                                            [stub/nop body]
  0x82454300  vtthunk_82454300                                    [vtable thunk (6 insns, ends bctr)]
  0x82458AE0  rage_8AE0                                           [calls 2x into 'rage' module]
  0x8245A828  nop_A828                                            [stub/nop body]
  0x82461488  nop_1488                                            [stub/nop body]
  0x8246D570  thunk_ph_vt5CD8_9                                   [thunk -> ph_vt5CD8_9]
  0x8246DCF0  nop_DCF0                                            [stub/nop body]
  0x82481D50  vtthunk_82481D50                                    [vtable thunk (4 insns, ends bctr)]
  0x82482B48  vtthunk_82482B48                                    [vtable thunk (4 insns, ends bctr)]
  0x82482B90  rage_2B90                                           [calls 5x into 'rage' module]
  0x82483348  nop_3348                                            [stub/nop body]
  0x82483498  nop_3498                                            [stub/nop body]
  0x824834A8  nop_34A8                                            [stub/nop body]
  0x824834B0  nop_34B0                                            [stub/nop body]
  0x824834C0  nop_34C0                                            [stub/nop body]
  0x824834C8  nop_34C8                                            [stub/nop body]
  0x824885C8  nop_85C8                                            [stub/nop body]
  0x8248A518  memset_A518                                         [calls 2x into 'memset' module]
  0x8248B220  memset_B220                                         [calls 2x into 'memset' module]
  0x8248DBD0  nop_DBD0                                            [stub/nop body]
  0x8248EC68  vtthunk_8248EC68                                    [vtable thunk (4 insns, ends bctr)]
  0x824920B0  vtthunk_824920B0                                    [vtable thunk (4 insns, ends bctr)]
  0x82492EE8  nop_2EE8                                            [stub/nop body]
  0x824930A8  vtthunk_824930A8                                    [vtable thunk (6 insns, ends bctr)]
  0x82493C40  nop_3C40                                            [stub/nop body]
  0x82494128  thunk_fn_824885C8                                   [thunk -> fn_824885C8]
  0x824AA910  thunk_fn_824AA568                                   [thunk -> fn_824AA568]
