auto_namer.py  –  Results
============================================================

Pass 1  (string refs):        0
Pass 2  (thunks):           143
Pass 3  (call patterns):    617
Pass 4  (stubs/nops):       168
──────────────────────────────
Total named this run:       928
Previously unnamed:        8634
Coverage:                 10.7%

============================================================
DETAIL (sorted by address)
============================================================
  0x8214B638  ph_B638                                             [calls 2x into 'ph' module]
  0x8214D480  game_D480                                           [calls 2x into 'game' module]
  0x8214E718  game_E718                                           [calls 2x into 'game' module]
  0x8214FC30  rage_FC30                                           [calls 2x into 'rage' module]
  0x82152788  game_2788                                           [calls 3x into 'game' module]
  0x82153D18  game_3D18                                           [calls 2x into 'game' module]
  0x82154770  game_4770                                           [calls 3x into 'game' module]
  0x821559E8  memcpy_59E8                                         [calls 3x into 'memcpy' module]
  0x82156008  game_6008                                           [calls 4x into 'game' module]
  0x82156E80  ke_6E80                                             [calls 2x into 'ke' module]
  0x821574A0  ke_74A0                                             [calls 2x into 'ke' module]
  0x82158338  game_8338                                           [calls 3x into 'game' module]
  0x82158C48  rage_8C48                                           [calls 3x into 'rage' module]
  0x82159F88  rage_9F88                                           [calls 3x into 'rage' module]
  0x8215A2A0  rage_A2A0                                           [calls 2x into 'rage' module]
  0x8215D5F0  rage_D5F0                                           [calls 2x into 'rage' module]
  0x82166280  game_6280                                           [calls 3x into 'game' module]
  0x82166310  game_6310                                           [calls 3x into 'game' module]
  0x82167EA8  game_7EA8                                           [calls 2x into 'game' module]
  0x82168B78  game_8B78                                           [calls 2x into 'game' module]
  0x82169E00  game_9E00                                           [calls 6x into 'game' module]
  0x8216A308  game_A308                                           [calls 3x into 'game' module]
  0x8216AB30  game_AB30                                           [calls 2x into 'game' module]
  0x8216B7F0  game_B7F0                                           [calls 2x into 'game' module]
  0x8216CF48  game_CF48                                           [calls 2x into 'game' module]
  0x8216DCB0  thunk_fn_8216DB10                                   [thunk -> fn_8216DB10]
  0x82170430  game_0430                                           [calls 5x into 'game' module]
  0x82174F70  nop_4F70                                            [calls 3x into 'nop' module]
  0x82175008  game_5008                                           [calls 4x into 'game' module]
  0x821792B0  thunk_vt751C_2                                      [thunk -> vt751C_2]
  0x82179430  game_9430                                           [calls 2x into 'game' module]
  0x82179D80  game_9D80                                           [calls 2x into 'game' module]
  0x8217B568  game_B568                                           [calls 2x into 'game' module]
  0x8217BA00  game_BA00                                           [calls 2x into 'game' module]
  0x8217F120  vtthunk_8217F120                                    [vtable thunk (5 insns, ends bctr)]
  0x821840F8  game_40F8                                           [calls 2x into 'game' module]
  0x821875E0  nop_75E0                                            [calls 3x into 'nop' module]
  0x821883D8  game_83D8                                           [calls 7x into 'game' module]
  0x82189AD0  thunk_fn_820D4DA0                                   [thunk -> fn_820D4DA0]
  0x82189B48  game_9B48                                           [calls 3x into 'game' module]
  0x8218A490  game_A490                                           [calls 9x into 'game' module]
  0x8218AF40  game_AF40                                           [calls 2x into 'game' module]
  0x8218B2E0  game_B2E0                                           [calls 2x into 'game' module]
  0x8218EFD0  game_EFD0                                           [calls 7x into 'game' module]
  0x821906A0  game_06A0                                           [calls 3x into 'game' module]
  0x82192CD0  game_2CD0                                           [calls 3x into 'game' module]
  0x821952C0  game_52C0                                           [calls 4x into 'game' module]
